player_id,player_name,games,ppg,ppg_tile,orpg,orpg_tile,drpg,drpg_tile,trpg,trpg_tile,apg,apg_tile,spg,spg_tile,bpg,bpg_tile,3pm,3pm_tile,3pa,3pct,ftm,ftm_tile,fta,fta_tile,ftpct
1457,Matt Rollinson,8,6,17,0.1,0,3.8,35,3.9,18,1,15,0.2,3,0.1,21,0.4,30,1.1,0.364,0.1,11,0.2,8,0.5
1464,Sean  Murray,8,16.1,69,3.1,89,8.5,93,11.6,94,5.2,96,1.4,79,0.9,81,1,51,4.1,0.244,3.6,95,4.6,90,0.783
1507,Brian Gelow,21,7.4,23,1.5,49,5,59,6.5,53,1.8,43,0.9,47,0.3,43,1,51,2.7,0.37,0.5,29,0.8,24,0.625
1539,Chris Maciejczak,118,24.8,94,1.5,49,8.3,92,9.8,84,2.7,70,1.4,79,0.7,74,4.8,98,13.4,0.358,2.2,80,3.8,84,0.579
1540,Zack Toth,13,6.1,18,3.2,90,3.6,31,6.8,57,2.4,61,1.1,61,0.7,74,0.2,21,0.2,1,0.5,29,1.7,47,0.294
1546,Tim Burke,17,4.1,10,1.2,38,2.6,16,3.8,16,1.2,20,0.5,19,0.3,43,0.3,26,1,0.3,0.4,23,0.6,18,0.667
1547,Tim O'Keefe,15,25.3,94,1.7,56,5,59,6.7,55,2.3,57,0.5,19,0.3,43,3.9,96,9,0.433,2.2,80,3.1,75,0.71
1556,Pat Lawson,6,7.8,26,1.2,38,1.8,4,3,8,1.2,20,1.2,69,0.7,74,0.7,41,3.3,0.212,1.2,56,1.3,35,0.923
1609,Dion Provost,6,21.8,88,3.5,93,6.7,81,10.2,87,1.5,32,2.7,98,0.2,34,3,89,9.7,0.309,3.2,92,4.8,92,0.667
1628,Jesse Wheeler,6,1.5,1,0.7,15,3,20,3.7,14,0.2,0,0,1,0.5,64,0.2,21,0.3,0.667,0.3,18,0.3,10,1
1629,Chanel Wright,200,15.6,66,1.5,49,4.9,57,6.4,52,2.9,73,1.4,79,0.3,43,2,74,6.6,0.303,1.6,66,2.7,69,0.593
1656,Damian Ruff,199,10.6,42,0.9,23,4.2,45,5.1,36,2.4,61,1.2,69,0.7,74,2.1,77,6.8,0.309,1.3,59,2.4,64,0.542
1757,Brandon Dorey,52,22.2,88,1.6,54,6.6,79,8.2,74,4.2,91,1.9,93,0.5,64,1.4,59,3.9,0.359,3.3,93,4.5,89,0.733
1809,Dan Macgregor,55,14.6,60,1.6,54,3.4,27,4.9,34,2.7,70,1.1,61,0.2,34,1.1,53,4,0.275,1.3,59,2.5,65,0.52
1811,Christopher Harvey,22,9.9,40,1.9,62,3.6,31,5.5,39,1.4,27,0.8,38,1,86,0.6,38,1.9,0.316,0.5,29,1,28,0.5
1818,Kaif Thompson,11,5.7,16,1.4,45,4,42,5.4,38,1.5,32,0.5,19,1.3,93,0.5,33,2.1,0.238,0.7,38,1.1,31,0.636
1875,Mike Gerrity,87,4.9,12,0.8,19,3.6,31,4.5,26,1.1,18,0.3,7,0.5,64,0.9,47,3.3,0.273,0.1,11,0.2,8,0.5
1881,Terry Henderson,136,23.5,90,2.4,76,9,95,11.4,93,3.6,86,1,53,1.1,89,1.5,62,4.6,0.326,4.7,98,7.1,98,0.662
2012,Kevin Tang,26,9.9,40,0.7,15,1.9,5,2.7,6,1.9,46,1.2,69,0,7,1.6,66,5,0.32,0.8,43,1.1,31,0.727
2016,Bobby Colantonio,19,14.4,60,1.7,56,7.5,86,9.3,82,3.4,83,1.5,84,1.2,93,1.8,70,4.9,0.367,1.2,56,1.5,42,0.8
2019,Ian Kilpatrick,8,29.5,98,3.5,93,8.2,91,11.8,94,5.2,96,0.9,47,0.4,54,2.1,77,6.1,0.344,2.4,83,3.4,80,0.706
2077,Mike Koziol,8,20.8,85,1.2,38,6.4,77,7.6,67,3,75,1,53,0.2,34,3.4,92,10.8,0.315,2.1,79,4.8,92,0.438
2086,Ryan Patendaude,9,14.4,60,2,66,4.1,44,6.1,47,2.4,61,0.9,47,0.6,68,2.4,82,5.1,0.471,0.7,38,0.9,26,0.778
2101,Josh Fincke,8,8.5,32,1.8,59,3.4,27,5.1,36,1.9,46,0.5,19,0.2,34,0,10,0,NaN,1,50,2.1,58,0.476
2105,Billy Durbrow,40,20.6,85,3.6,94,10.1,98,13.7,98,5.4,97,1.7,88,0.8,79,0,10,0,NaN,1.8,72,4.8,92,0.375
2108,Paul Giardina,20,4.6,11,0.8,19,2.5,13,3.3,10,1.6,34,0.6,24,0.2,34,0.2,21,0.7,0.286,0,5,0,3,NaN
2170,Khalid Lakanwal,22,17.4,74,1.2,38,4,42,5.2,37,4.5,93,1.6,86,0.2,34,3.8,95,10.2,0.373,0.8,43,1.4,39,0.571
2180,Pat Fidler,7,24.9,94,2.1,68,8.7,94,10.9,91,3,75,1,53,0.4,54,3,89,7.9,0.38,3.3,93,4.9,92,0.673
2229,David Frazier,19,13.6,55,2.4,76,3.7,33,6.1,47,2.1,53,1.3,73,0.5,64,0.6,38,1.5,0.4,1.8,72,2.7,69,0.667
2253,Mike Cadman,17,9.9,40,1.2,38,4,42,5.2,37,1.2,20,0.5,19,0.2,34,1.7,69,5.1,0.333,0.9,45,1,28,0.9
2254,Mike Fraher,166,10.6,42,1.5,49,4.2,45,5.7,41,1,15,0.3,7,0.2,34,0.2,21,0.5,0.4,0.4,23,0.5,15,0.8
2304,Mario Casal,9,8.2,29,1.2,38,3.7,33,4.9,34,2,49,0.8,38,1,86,1.2,55,5,0.24,0.1,11,0.3,10,0.333
2352,Ronaldo  Vega,8,6.2,19,2,66,4.8,56,6.8,57,1.5,32,1.4,79,0.4,54,0.2,21,2.9,0.069,0.2,15,1.4,39,0.143
2369,Arren Perkins,7,13.6,55,4.3,98,3.4,27,7.7,68,3.3,80,4.6,100,1.1,89,0.3,26,1.3,0.231,0.4,23,1.6,45,0.25
2466,Lee  Eudy,22,11.3,45,4.4,98,6.4,77,10.8,91,1.8,43,0.6,24,1.4,94,0.8,43,2.2,0.364,1.9,76,3,74,0.633
2606,John Carpin,18,16,67,1.6,54,6.7,81,8.2,74,1.8,43,2.2,96,1.1,89,1.7,69,5.1,0.333,1.3,59,2.4,64,0.542
2612,Shane Doyle,10,8.4,30,2.4,76,4.6,51,7,61,2.1,53,0.6,24,0.6,68,0,10,0,NaN,0.8,43,1.4,39,0.571
2656,Brad Mulholland,92,10.3,41,1.3,43,5,59,6.3,50,1.5,32,1.1,61,0.9,81,1.6,66,5,0.32,1.1,53,1.9,53,0.579
2677,Daniel Watson,22,23.7,91,2.3,73,5.3,63,7.6,67,1.5,32,1,53,0.8,79,2.6,84,7.3,0.356,3.7,96,4.7,90,0.787
2717,Noah Spaulding,61,6.4,19,1.3,43,3.8,35,5.1,36,1,15,0.6,24,0.4,54,0.9,47,2.8,0.321,0.5,29,0.8,24,0.625
2788,Jono Edwards,141,15.1,63,1.2,38,5,59,6.2,49,2.8,72,0.7,30,0.1,21,1.6,66,4.5,0.356,1,50,1.7,47,0.588
2819,Tim McCarthy,17,6.6,20,0.9,23,3.5,29,4.4,24,1.2,20,0.4,12,0,7,1.6,66,5.8,0.276,0.1,11,0.4,13,0.25
2823,Adam Kurtzer,29,12,48,3.4,92,4.5,49,7.9,70,2.2,55,1.4,79,0.4,54,0.5,33,1.7,0.294,1.3,59,2.4,64,0.542
2946,Eric Nordstrom,27,15.9,67,3.7,95,6.6,79,10.4,88,1.6,34,0.4,12,0.9,81,0.4,30,1.4,0.286,0.8,43,1.4,39,0.571
2999,Craig Henricksen,48,25.6,95,3.2,90,8.8,94,12,95,2.8,72,1.9,93,1,86,0.9,47,2.4,0.375,3.9,97,5.1,93,0.765
3078,Mike Doe,7,7.3,23,0.3,3,1.4,2,1.7,1,0.4,3,0.7,30,0,7,2.1,77,6.6,0.318,0,5,0,3,NaN
3079,Adam Biehler,24,22.4,89,4,97,8.4,92,12.4,96,3.8,88,1.5,84,0.5,64,0.8,43,2.4,0.333,1.8,72,3.4,80,0.529
3113,Ryan Kelley,7,13.9,57,2.4,76,7.9,89,10.3,87,2.1,53,1.6,86,0.9,81,1.9,72,7,0.271,1.1,53,2.1,58,0.524
3142,Ryan Ouellette,161,18.3,77,1.3,43,6.3,76,7.6,67,2.5,64,0.8,38,0.8,79,3,89,8.1,0.37,1.8,72,2.6,66,0.692
3187,Jonah Mytro,16,24.5,93,2.6,80,9.1,96,11.7,94,4.4,92,1.5,84,0.9,81,1.9,72,4.9,0.388,4.6,98,7.1,98,0.648
3276,Jon Stott,7,7.7,25,1.1,32,6.1,74,7.3,65,2.4,61,0.6,24,1.6,96,0.4,30,1.6,0.25,1.6,66,1.9,53,0.842
3327,Scott Mulholland,145,9.5,37,4,97,7.6,87,11.6,94,2,49,0.7,30,2.2,99,0.4,30,1.1,0.364,1.2,56,2.2,59,0.545
3329,John Mulholland,186,17.1,72,4,97,6.9,82,10.9,91,2.8,72,0.9,47,1.6,96,1.2,55,2.8,0.429,2.5,84,3.6,81,0.694
3331,Brian Sundell,15,5.8,17,2,66,3.9,38,5.9,43,2.3,57,1.4,79,0.7,74,0.3,26,2.3,0.13,0.5,29,1.2,33,0.417
3349,Brian Sharkey,11,15.4,65,0.6,10,4,42,4.6,28,2.7,70,1.1,61,0.5,64,3,89,6.8,0.441,0.8,43,1.5,42,0.533
3358,Malcolm Greene,22,23.3,90,1.9,62,8.6,94,10.5,88,3.2,79,1,53,0.7,74,2.4,82,6.8,0.353,3.6,95,5.9,95,0.61
3394,Robert Haas,32,18.8,79,2.9,86,8.2,91,11,91,2.1,53,0.8,38,1,86,1.6,66,3.3,0.485,1.9,76,3,74,0.633
3528,Drew Legare,6,19.3,81,4.2,97,10.5,98,14.7,99,3,75,1.7,88,1.2,93,0.2,21,1.8,0.111,3.5,94,6.2,97,0.565
3660,John McGlynn,6,21.7,87,2.7,82,7.3,85,10,85,1.8,43,1.2,69,0.8,79,1,51,4.3,0.233,2.8,88,3.7,83,0.757
3674,Brett Armstrong,159,21,86,1.9,62,5.4,65,7.3,65,3.8,88,1.7,88,0.5,64,2.5,83,6.4,0.391,1.6,66,2.6,66,0.615
3709,Frank Malsbenden,213,6,17,1.2,38,3.9,38,5.1,36,1.4,27,0.4,12,0.5,64,0.6,38,1.8,0.333,0.2,15,0.4,13,0.5
3722,Tim Davenport,9,16.1,69,4,97,6.7,81,10.7,89,3.2,79,2.6,98,1.1,89,0.9,47,2.9,0.31,2.8,88,5,92,0.56
3723,Chris Belletti,43,8.1,28,1,27,2.4,11,3.4,11,0.9,12,0.5,19,0.1,21,1.1,53,4,0.275,0.5,29,0.8,24,0.625
3725,Alex Lanfear,8,20.2,83,3.1,89,8,90,11.1,92,5,95,1.9,93,0.8,79,2.6,84,5.8,0.448,2.1,79,2.9,72,0.724
3769,Jim Bayley,6,30.8,98,2.7,82,7,83,9.7,83,2.2,55,1.7,88,0.2,34,3.2,91,9.3,0.344,6,100,8.8,100,0.682
3911,Lew Finnegan,11,24.2,92,1.5,49,8.5,93,9.9,84,5,95,1.5,84,0.5,64,4.1,96,8.5,0.482,1.4,61,2.5,65,0.56
3962,Matty Bells,36,4.1,10,0.6,10,2.1,7,2.7,6,2.4,61,1,53,0.1,21,0.1,15,1.1,0.091,0.3,18,0.6,18,0.5
4026,Matt Roberts,37,11.6,47,2.1,68,5.3,63,7.4,66,2.4,61,0.5,19,0.4,54,0.5,33,1.8,0.278,0.8,43,1.1,31,0.727
4034,Nelson de Pina,37,11.4,45,2.4,76,7.9,89,10.2,87,1.3,22,1.3,73,0.4,54,1.1,53,3.3,0.333,0.3,18,0.8,24,0.375
4057,Nate Mendes,71,10.4,41,1.1,32,2.4,11,3.5,13,1.8,43,1.2,69,0.3,43,1.9,72,5.1,0.373,0.6,35,0.9,26,0.667
4076,Sean Osgood,9,33,99,2.1,68,9.8,97,11.9,95,5,95,2.9,98,2,98,2.9,88,7.8,0.372,3,90,4.6,90,0.652
4078,Kevin Boggan,9,9.8,38,2.9,86,4.3,47,7.2,62,2.1,53,1.1,61,0.2,34,0.6,38,3.7,0.162,2.2,80,3.9,85,0.564
4200,Mike Greer,6,19.5,81,2.8,84,6.7,81,9.5,83,4.2,91,1.8,91,1.2,93,1,51,3.3,0.303,2,77,3.2,76,0.625
4215,Chris Burke,7,14.9,62,1.1,32,7.6,87,8.7,77,6.6,99,1.6,86,0.3,43,2.1,77,6.3,0.333,1.3,59,1.6,45,0.812
4252,Jake Struck,53,18.4,78,2.9,86,7.5,86,10.4,88,2.5,64,1.2,69,1.2,93,0,10,0.4,0,2.7,86,6,96,0.45
4381,Elijah Heckstall,99,18.9,80,3.2,90,5.4,65,8.6,77,4.1,90,1.3,73,1,86,0.6,38,2.3,0.261,3.7,96,6.2,97,0.597
4502,Ryan O'Keefe,13,24.2,92,2.3,73,4.7,53,7,61,2.7,70,0.9,47,0.4,54,3.2,91,7.5,0.427,3.9,97,5.9,95,0.661
4563,Neal Grabowski,46,3.1,6,1.2,38,2.6,16,3.8,16,1,15,0.5,19,0.2,34,0.1,15,0.3,0.333,0.1,11,0.4,13,0.25
4649,Thom Giordano,34,3.6,8,1.4,45,2.7,16,4.1,20,1.1,18,0.7,30,0.1,21,0.1,15,0.5,0.2,0.2,15,0.5,15,0.4
4711,Anuj Agrawal,17,5.2,15,0.8,19,2.8,18,3.5,13,2.2,55,1.1,61,0.2,34,0.7,41,2.1,0.333,0.5,29,0.8,24,0.625
4780,Craig Noto,39,18.2,77,2.9,86,7.8,88,10.7,89,1.3,22,0.9,47,2,98,0.9,47,2.3,0.391,1.6,66,2.4,64,0.667
4828,Gregg Dennis,9,14.3,59,2.4,76,4.4,48,6.9,58,2.7,70,2,96,1.2,93,1.4,59,4,0.35,1.1,53,2,55,0.55
4861,Mike Reddick,9,16.8,71,1.2,38,4.8,56,6,44,1.1,18,0.7,30,1,86,2.1,77,7.4,0.284,2.8,88,3.4,80,0.824
4880,Jay Mitchell,19,12.1,49,1.1,32,4.7,53,5.7,41,1,15,0.5,19,0.5,64,2.8,88,6.2,0.452,0.3,18,0.7,20,0.429
4885,Nate Trueblood,8,13.4,54,1.4,45,6,73,7.4,66,1.8,43,0.6,24,0.4,54,2,74,5.4,0.37,0.5,29,1.1,31,0.455
4902,Brandon Bowman,7,5.7,16,2,66,7.3,85,9.3,82,0.4,3,1.6,86,0.4,54,0,10,0,NaN,0,5,1.3,35,0
4920,Jofre Cruz,12,26.8,96,2.3,73,5.5,67,7.8,69,8.3,100,3.3,99,0.4,54,2.8,88,7.4,0.378,3.2,92,5.5,94,0.582
4941,Sherard Robbins,10,38,100,2.7,82,11.7,99,14.4,99,4.4,92,2.5,97,2.5,100,1.5,62,3.6,0.417,5.9,99,8.1,99,0.728
4982,Andrew Cousins,6,21.7,87,1.3,43,5.3,63,6.7,55,2.7,70,1.3,73,2.2,99,3.5,93,11.3,0.31,2.2,80,3.2,76,0.688
5140,Tim Hurley,33,8.2,29,1.5,49,6.4,77,7.9,70,1.7,38,1.2,69,0.4,54,1,51,3.5,0.286,1.1,53,1.9,53,0.579
5159,Mike Strange,9,26.9,96,2.3,73,11.3,99,13.7,98,3.1,77,0.9,47,0.7,74,1.7,69,6.9,0.246,3.9,97,6.4,97,0.609
5167,Michael Karrat,8,9.1,35,1,27,3.9,38,4.9,34,1.9,46,1,53,0.5,64,1,51,3.6,0.278,0.9,45,1.9,53,0.474
5172,Dan Ollquist,122,19.8,82,1.5,49,6,73,7.5,66,3.4,83,1.2,69,0.2,34,2.3,80,6.9,0.333,2.4,83,3.5,80,0.686
5173,Adam House,29,17.3,74,1.9,62,4.8,56,6.7,55,4,89,1.1,61,0.1,21,3.5,93,8.8,0.398,1.1,53,1.9,53,0.579
5174,Omar Brahim,6,5.3,15,3.8,96,6.3,76,10.2,87,1.8,43,0.8,38,1.5,96,0,10,0.5,0,0.7,38,2,55,0.35
5175,Mike Tracy,20,17.2,73,0.8,19,4.7,53,5.5,39,4.7,94,2,96,0.2,34,3.6,94,9.1,0.396,1.8,72,2.5,65,0.72
5176,David Mok,9,16.6,70,2.4,76,4.6,51,7,61,2.6,66,1.8,91,0.4,54,1.2,55,3.2,0.375,1.1,53,1.8,50,0.611
5195,Tyler Flaherty,10,9.3,35,1.6,54,9.1,96,10.7,89,1.9,46,0.5,19,1,86,0,10,0.2,0,0.9,45,2.4,64,0.375
5233,Mike D'Alelio,6,10.8,44,1.5,49,5.7,69,7.2,62,5.5,98,0.5,19,0.2,34,1,51,4.2,0.238,1.3,59,2.3,60,0.565
5267,Mike McCauley,13,15.2,64,1.3,43,3.4,27,4.7,31,2,49,1.5,84,0.3,43,2,74,4.5,0.444,1.2,56,1.8,50,0.667
5280,Dodd Gray,10,4.7,11,2,66,2.6,16,4.6,28,1.7,38,1.1,61,0.7,74,0,10,0,NaN,0.8,43,1.4,39,0.571
5478,Dan Delicata,7,3.1,6,0.4,5,1.3,1,1.7,1,0.4,3,0.1,1,0,7,0.3,26,1.4,0.214,0,5,0,3,NaN
5491,Pete McCoubrey,7,4.1,10,3,87,4.3,47,7.3,65,1.4,27,0.7,30,0.3,43,0,10,0.9,0,0.4,23,1.4,39,0.286
5740,James Bartelle,16,27.4,97,1.6,54,6.8,82,8.4,76,2.9,73,1.4,79,1.1,89,3.3,91,8.1,0.407,2.4,83,3.6,81,0.667
5741,Nolan Ostrander,22,7.6,25,2.3,73,3.2,23,5.5,39,0.9,12,0.7,30,0.5,64,0.1,15,0.3,0.333,0.5,29,0.8,24,0.625
5743,Charles Osgood,18,7.1,22,0.7,15,3.6,31,4.3,22,2,49,0.8,38,0.2,34,1.3,56,3.5,0.371,0.2,15,0.6,18,0.333
5744,Nate DeGroot,6,8.5,32,4.2,97,7.2,85,11.3,93,1.8,43,2.3,96,0.7,74,0,10,0.7,0,0.2,15,2,55,0.1
5746,Jacob Poling,9,20,83,2.3,73,4.7,53,7,61,2.4,61,0.9,47,0.4,54,1.9,72,4.7,0.404,3,90,3.7,83,0.811
5750,Paul Podymaitis,9,13.4,54,1.6,54,2.6,16,4.1,20,2.1,53,1.2,69,0.3,43,1.6,66,3.3,0.485,1.2,56,1.7,47,0.706
5759,Drew DeBari,32,10.9,44,1,27,3.7,33,4.6,28,2.4,61,1.3,73,0.5,64,2.1,77,6.2,0.339,1.2,56,1.7,47,0.706
5766,Mike Cook,14,13.2,53,5,99,6.9,82,11.9,95,1.9,46,1.2,69,0.9,81,0,10,0.2,0,1.5,63,2.7,69,0.556
5823,Kevin Swecker,101,15.5,65,2,66,5.9,71,7.9,70,3.4,83,1,53,1.1,89,1.4,59,4.9,0.286,2.6,86,4.7,90,0.553
5912,Marc LeBlanc,124,17.1,72,1,27,5.4,65,6.4,52,3.4,83,0.7,30,0.2,34,2.5,83,6,0.417,2.4,83,2.8,70,0.857
5957,Andy Rawlins,6,16.3,69,2.8,84,5.5,67,8.3,75,2.7,70,1.3,73,0,7,0.3,26,1.7,0.176,0.7,38,1.3,35,0.538
5973,Rich Cody,7,11.9,47,0.6,10,1.9,5,2.4,3,2,49,1.1,61,0,7,2,74,6.3,0.317,0.7,38,1,28,0.7
